Jobp	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5	Desc1	Desc2	Desc3	Desc4	Desc5
Eat_Item_Healroot											ข้าจะไม่Ănสมุรไพรป่า เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn thảo dược rừng khi hữu ích	Ta có thể ăn thảo dược rừng khi hữu ích	Ta khá thích ăn thảo dược rừng khi hữu ích	ข้าชอบĂnสมุรไพรป่าเมื่อมันมีประโยชน์
Eat_Item_Mint											ข้าจะไม่Ăn Minh Tâm Thảo เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Tịnh Diệp khi hữu ích	Ta có thể ăn Minh Tâm Thảo khi hữu ích	Ta khá thích ăn Minh Tâm Thảo khi hữu ích	ข้าชอบĂn Minh Tâm Thảoเมื่อมันมีประโยชน์
Eat_Item_MagicHerb											ข้าจะไม่Ăn Linh Thảo เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Linh Thảo khi hữu ích	Ta có thể ăn Linh Thảo khi hữu ích	Ta khá thích ăn Linh Thảo khi hữu ích	ข้าชอบĂn Linh Thảoเมื่อมันมีประโยชน์
Eat_Item_Laxative											ข้าจะไม่Ăn thuốc xổ เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn thuốc xổ khi hữu ích	Ta có thể ăn thuốc xổ khi hữu ích	Ta khá thích ăn thuốc xổ khi hữu ích	ข้าชอบĂn thuốc xổเมื่อมันมีประโยชน์
ESkill											ข้าจะไม่ใช่ปราณเวทกับศัตรู	ข้าจะใช้ปราณเวทกับศัตรูที่มีปริมาณปราณต่ำสุด	ข้าจะใช้ปราณเวทกับศัตรูที่มีปราณน้อยที่สุด	ข้าจะใช้ปราณเวทกับศัตรูที่มีปริมาณปราณมากที่สุด	ข้าจะใช้ปราณเวทกับศัตรูแบบสุ่ม
FSkill											ข้าจะไม่ใช่ปราณเวทกับพวกพ้อง	ข้าจะใช้ปราณเวทกับพวกพ้องที่มีปริมาณปราณต่ำสุด	ข้าจะใช้ปราณเวทกับพวกพ้องที่มีปราณน้อยที่สุด	ข้าจะใช้ปราณเวทกับพวกพ้องที่มีปริมาณปราณมากที่สุด	ข้าจะใช้ปราณเวทกับพวกพ้องแบบสุ่ม
Eat_Item_Bamboo											ข้าจะไม่Ăn tre trúc เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn tre trúc	Ta có thể ăn tre trúc	Ta khá thích ăn tre trúc	ข้าชอบĂn tre trúc
Eat_Item_BambooShoot											ข้าจะไม่Ăn măng trúc เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn măng trúc	Ta có thể ăn măng trúc	Ta khá thích ăn măng trúc	ข้าชอบĂn măng trúc
Eat_Item_WuDang_HuangJingFen											ข้าจะไม่Ănผงแกนดิน เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Địa Hạch Phấn khi hữu ích	Ta có thể ăn Địa Hạch Phấn khi hữu ích	Ta khá thích ăn Địa Hạch Phấn khi hữu ích	ข้าชอบĂnผงแกนดินเมื่อมันมีประโยชน์
Eat_Item_Dan_WuQiNoHunger2											ข้าจะไม่Ăn Bổ Khí Đan เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Bổ Khí Đan khi hữu ích	Ta có thể ăn Bổ Khí Đan khi hữu ích	Ta khá thích ăn Bổ Khí Đan khi hữu ích	ข้าชอบĂn Bổ Khí Đanเมื่อมันมีประโยชน์
Eat_Item_Dan_SanHuaHuangJing											ข้าจะไม่Ăn đan dượcสามแกน เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Tam Hạch Đan khi hữu ích	Ta có thể ăn Tam Hạch Đan khi hữu ích	Ta khá thích ăn Tam Hạch Đan khi hữu ích	ข้าชอบĂn đan dượcสามแกนเมื่อมันมีประโยชน์
