房间	Room
赤月饕餮纪要	Crimson Moon Gluttony Compendium
本源多宝纲要	Compendium of Essence Treasures
天金合一记	Celestial Metal Unity Records
庚金鬼手要诀	Gengjin Ghost Hand Formula
周天神算	Universal Foresight
阴神夺舍	Lesser Possession
形容之蚀	Corrosion of Form
形容返照	Form Reflection
血骨炼形	Blood and Bone Refinement
龟息诀	Turtle Breath Technique
五感之蚀	Corrosion of Five Senses
五感返照	Five Senses Reflection
蛰命法	Life-Hibernation Method
献祭	Sacrifice Offering
神智之蚀	Erosion of Divine Wisdom
神智返照	Wisdom Reflection
鼎炉吸真术	Cauldron Essence Absorption Art
天魔解体大法	Demon Disintegration Art
欺天	Heaven-Deceiving
窃天	Heaven Stealer
阳神夺舍	Greater Possession
气运之蚀	Erosion of Qi Fortune
气运返照	Qi Fortune Reflection
九幽返照	Nine Nethers Reflection
浊之躯	Turbid Flesh
护体血罡	Blood Aura Body Protection
凝血神盾	Blood Coagulation Divine Shield
偷天	Sky Thief
换日	Sun Replacer
秘宝：偷天七绝针	Treasure: Seven Ultimate Heaven-Stealing Needles
碧光落花神雷	Emerald Light Falling Blossoms Thunder
归真覆天真言	Return to Truth Heaven-Overturning Mantra
圆转剑	Circular Flow Sword
通慧	Wisdom Channel
黄芽多宝	Yellow Sprout Treasures
大日决意要诀	Solar Resolve Formula
归真万古神功	Return to Truth Eternal Divine Technique
天心正法	Righteous Method of Heavenly Heart
心印诀	Chant of Resonance
蜀山蓄神宝典	Shu Mountain Spirit-Storing Canon
初解流光咒	Initial Radiance Curse
飞星神雷	Divine Thunder of Flying Stars
知节回春咒	Discipline Revival Curse
忘情九极真言	Nine Extremes of Detachment Mantra
咒神九卷	Curse God Nine Scrolls
咒神秘诀	Curse God Secret Art
知节急诵经	Discipline Rapid Chant Scripture
龙虎崩天秘要	Dragon-Tiger Heaven-Shattering Secret Essentials
佛心	Buddha Heart
佛心典	Buddha Heart Canon
初解气摄	Primordial Qi Absorption
东华归祖经	Eastern Glory Ancestral Return Scripture
玄关合一册	Mystic Pass Unity Manual
化形圆转十三式	Thirteen Forms of Shapeshifting Circular Flow
大衍神算	Derivative Calculation
吸星掌	Star-Sucking Palm
幽淬之法	Ghostly Tempering Technique
大日金刚	Vajra of the Great Sun
混元剑诀	Primordial Chaos Sword Formula
破灭十式	Ten Forms of Annihilation
破灭	Annihilation
曳影	Flickering Shadow
神佑书	Divine Protection Manual
气摄神功	Qi Control Divine Power
百炼纲要	Hundred Refinements Compendium
鲁绮思上仙气摄	Immortal Lu Qisi's Soul Devouring
新境百炼纲要	New Realm Refinement Compendium
勾陈佛心	Gouchen Buddha Heart
大日鲸吞经	Solar Flare Devouring Scripture
太乙琢玉密卷	Taiyi Jade-Carving Scripture
鸿蒙蓄神	Spirit Accumulation of Primordial Chaos
御灵术	Spirit Control Art
彻法辟谷宝典	Fasting Canon of Ultimate Law
流光真言	Flowing Light True Words
天火天星	Celestial Fire Heavenly Star
圆转决	Circular Flow Technique
混元宝典	Scripture of Hybrid Origin
天火千钧剑	Heavenly Fire Thousand Jun Sword
丁火迅影剑	Ding Fire Swift Shadow Sword
燃魂破灭决	Soul-Burning Annihilation Decision
微草破灭七式	Tiny Grass Annihilation Seven Forms
赤炎破灭式	Blazing Flame Destruction Form
炽凰蓄神	Blazing Phoenix Spirit Accumulation
鲸吞纪要	Whale Devour Compendium
鲸吞秘法	Leviathan's Maw Secret Method
神视经	Divine Sight Scripture
丙火百炼纲要	Essence of Fiery Refinement
少林摄神密卷	Shaolin [Buddhist] Mind Control Scripture
天火合一	Union of Celestial Fire
托体同山诀	Body-Entrusting Mountain Art
紫薇震地咒	Purple Tenuity Earth-Shaking Curse
逆浪落花诀	Countercurrent Blossom Art
东华镇神诀	Eastern Splendor Spirit-Suppressing Art
决意秘要	Resolute Secret Essentials
过去庄严沃野宝册	Past Majesty Fertile Fields Treasure Manual
神视	Divine Sight
神视宝典	Divine Vision Tome
神佑密卷	Secret Scroll of Divine Blessing
勾陈决意密卷	Gouchen Resolve Scroll
万源归真摄神典	Ten Thousand Sources Return to Truth Soul Devouring Canon
修蛇通慧书	Serpent Wisdom Tome
金丹神农药典	Golden Core Divine Farmer Herbology
五台清心神功	Wutai Serenity Divine Art
化形摄神书	Shapeshift Spirit-Snatching Tome
万源归真摄神册	Ten Thousand Sources Return to Truth Soul Devouring Scripture
风月幻境	Illusory Realm of Wind and Moon
赤日通慧记	Crimson Sun Wisdom Record
紫云宫鲸吞	Purple Cloud Palace Whale Devour
御气急诵秘诀	Qi Control Rapid Chant Secret Art
长生通天咒	Longevity Heaven-Piercing Curse
通天诀	Heaven-Piercing Technique
坤元密卷	Kunyuan Secret Scroll
迅影七式	Seven Forms of Swift Shadow
坤元宝典	Kun Yuan Scripture
圆转秘法	Circular Flow Secret Method
甲木圆转十式	Wooden Cyclic Ten Forms
入道破灭秘诀	Dao-Entry Annihilation Esoterica
乙木蓄神	Yi Wood Spirit Accumulation
冷月迅击剑	Frostmoon Swift Strike Sword
华山千钧剑诀	Mount Hua's Thousand Jun Sword Art
东海蓄神七式	East Sea Spirit Storage Seven Forms
长生迅击十式	Longevity Blitz Ten Forms
况承真人神龟纪要	Real Person Kuang Cheng's Divine Turtle Summary
百炼通卷	Hundred Refinements Manual
万木决意经	Ten Thousand Woods Resolve Scripture
赤日多宝秘要	Crimson Sun Treasure Secret Essentials
苍木百炼通卷	Ancient Wood Refinement Complete Scroll
苍龙气摄	Azure Dragon Qi Absorption
现在贤百炼秘法	Present Sage's Hundred Refinements Secret Art
紫霄妙手通卷	Purple Firmament Dexterity Tome
大日五气	Five Qi of Great Sun
天星真言	Heavenly Star True Words
奠基	Foundation Laying
奠基密卷	Foundation Secret Scroll
少林急诵	Shaolin Rapid Chant
鲸吞	Whale Devourer
百汇决意秘传	Convergence Resolve Esoterica
大日鲸吞纪要	Great Sun Devouring Compendium
武当佛心宝典	Wudang Buddha Heart Canon
未来星宿百炼密卷	Future Constellations Hundred Refinements Secret Scripture
南海辟谷纪要	South Sea Fasting Compendium
时氏多宝通卷	Shi Clan Treasure Compendium
玄武千钧剑	Black Tortoise Thousand Jun Sword
百炼诀	Hundred Refinements Formula
博物志	Naturalist's Journal
上清真气	Shangqing True Qi
灵淬法	Spirit Tempering Method
炼器十要	Ten Essentials of Artifact Refining
炼制灵石之术	Art of Crafting Spirit Stones
琢玉册	Jade-Carving Manual
丙丁雷泽火	Fire Thunder Marsh Flame
神火合一·雷泽	Flame Fusion - Thunder Marsh
上清先天真焰	Shangqing Primordial True Flame
神火合一·上清	Divine Fire Unity · Supreme Clarity
心焰	Heart Flame
神火合一·心焰	Divine Fire Unity · Heart Flame
上清秘传造化真解	Shangqing Secret Tradition Creation True Explanation
彻法无形神雷	Formless Divine Thunder of Ultimate Law
现在贤落花真言	Present Sage's Petals Fall Divine Pronouncements
知节覆天	Season-Overturning Heaven
微草清心要诀	Tiny Grass Clarity Formula
炽凰神佑	Blazing Phoenix Divine Blessing
入道饕餮神功	Path Initiation Gluttony Divine Art
紫火神视	Purple Fire Divine Vision
炽凰决意秘传	Phoenix Resolve Esoterica
未来星宿万古经	Future Constellations Eternal Scripture
六气千钧	Six Qi Thousand Jun
大日燃灵神雷	Great Sun Soul-Burning Divine Thunder
六气不坏神雷	Six Qi Indestructible Thunder
东华覆天咒	Eastern Splendor Heaven-Sundering Curse
崩天卷	Sky-Sundering Scroll
沃野	Fertile Fields
丙丁咒神秘诀	Bing-Ding Curse God Formula
大日急诵经	Solar Flare Rapid Chant Scripture
赤日归祖宝典	Crimson Sun Ancestral Codex
玄关咒神	Mystic Pass Curse God
嵩山归藏	Song Mountain Returning
清心纪要	Serene Mind Manual
清心神功	Divine Art of Heart Cleansing
决意密卷	Resolute Secret Scroll
天火决意秘法	Celestial Fire Resolve Esoterica
忘情辟谷要诀	Emotionless Fasting Formula
太乙辟谷神功	Taiyi Fasting Divine Art
燃魂辟谷秘传	Soul-Burning Fasting Secret Transmission
六壬神算	Astrological Foresight
过去庄严落花咒	Past Dignity Petals Fall Grand Mantra
玄金金刚真言	Mystic Gold Vajra Mantra
归藏九卷	Secret of Gui Cang
五内咒神秘诀	Secret Technique of Five Organs Curse God
入道妙手秘法	Path Initiation Skilled Hands Secret Method
御气鬼手通卷	Qi Control Ghost Hand Complete Scroll
三才神佑密卷	Triple Harmony Divine Protection Scroll
赤霄宫沃野秘要	Red Sky Palace's Fertile Plains Secret Key
斩天神视经	Sky-Sundering Divine Vision Scripture
御神通慧典	divine Wisdom Canon
辛金合一	Xin Metal Unity
玄金决意纪要	Mystic Metal Resolve Compendium
沃野丹方	Fertile Land Elixir Formula
飞星真言	Shooting Star Mantra
己土回魂咒	Ji Earth Soul Return Curse
微草陨星诀	Herbal Meteor Art
万里合一	Ten Thousand Li Unity
炎神殿咒神秘诀	Flame God Hall's Curse God Secret Technique
五戒崩天	Five Prohibitions Heaven-Shattering
新境归藏卷	New Realm Hidden Knowledge Scroll
地龙辟谷秘诀	Earth Dragon Fasting Esoterica
归真破灭秘诀	Return to Truth Annihilation Esoterica
合一书	Unity Book
通慧秘法	Secret Method of Universal Wisdom
佛心书	Buddha Heart Scripture
黄芽通慧记	Yellow Sprout Wisdom Records
彻法沃野宝册	Thorough Method Fertile Field Treasure Manual
入道鲸吞	Dao-Whale Devour
华山神佑册	Huashan Divine Protection Manual
六气神佑宝典	Six Qi Divine Protection Canon
地龙饕餮	Dilong Gluttony
回春咒	Spring Return Curse
逆浪陨星神雷	Counterwave Meteor Thunder
急诵密卷	Rapid Chant Secret Scroll
崩天九卷	Nine Heaven-Sundering Scrolls
归藏宝典	Returning Treasure Canon
多宝	Treasure Abundance
金丹通慧书	Golden Elixir Wisdom Book
入道鬼手	Dao Initiation Ghost Hand
彻法多宝宝册	Treasure Manual of Ultimate Law
太阴锻体	Lunar Forging Body
少阴锻体	Body Forging of Lesser Yin
玄阴锻体	Body Forging of Profound Yin
神行术	Divine Movement Technique
瞬形法	Instant Form Method
九州大法	Nine Provinces Great Method
辟邪真法	Evil-Warding True Method
幽剑	Phantom Sword
地母玄经	Mystic Scripture of Earth Mother
摄神御鬼大法	Spirit-Capture Ghost Control Art
九幽炼神	Nine Nethers Spirit Refinement
尘暴术	Dust Storm Technique
八极炼形诀	Eight Extremities Body Refinement
灵视神观	Spiritual Vision Divine Observation
太虚元罡	Great Void Primordial Gang
太虚神盾	Great Void Divine Shield
瞬霎诀	Instant Flash Technique
太阴诀	Lunar Formula
少阴诀	Lesser Yin Formula
玄阴诀	Profound Yin Formula
渊狱诀	Abyss Prison Formula
幽狱诀	Nether Prison Technique
通幽秘传	Secret Transmission of Nether Passage
坤元真气	Earthly Origin True Qi
厚德篇	Virtuous Chapter
虚空谒神法	Void God-Invoking Method
坏灭诀	Annihilation Technique
一剑	One Sword
秘宝：一剑	Treasure: Single Sword
丙火圆转剑	Bing Fire Circular Sword
五方真言	Five Directions True Words
朱雀不朽真言	Vermilion Bird Immortal Mantra
凌霄天星	Heavenly Star of the Firmament
迅击七式	Seven Swift Strikes
蓄神十式	Ten Forms of Spirit Accumulation
黄芽圆转十式	Yellow Sprout Circular Ten Forms
辟谷神功	Grain Abstinence Divine Skill
朱雀神佑记	Zhuque Divine Blessing Record
黄庭气摄神功	Yellow Court Qi-Control Art
金丹佛心	Buddha Core of Golden Core
入道饕餮	Dao Initiation Gluttony
化形神农宝册	Transformation Divine Farmer Manual
太乙鲸吞	Great Yi's Devouring
五印刻神	Spirit Engraving of Five Seals
天魔舞	Heavenly Demon Dance
六气九极咒	Six Qi Nine Extremities Curse
真丹妙手药典	True Elixir Skilled Hands Pharmacopoeia
苍龙多宝纲要	Azure Dragon Treasure Compendium
苍木妙手宝册	Tome of Azure Wood Dexterous Hands
忘情多宝宝典	Emotionless Treasure Canon
寒月琢玉密卷	Cold Moon Jade Polishing Secret Scroll
金雷落花真言	Golden Thunder Falling Blossom Mantra
初解金刚	Primordial Diamond
震雷金刚真言	Thunder Vajra Incantation
千钧秘诀	Thousand Jun Secret Formula
蓄神	Spirit Accumulation
圆转	Circular Flow
天金坤元宝典	Celestial Metal Kunyuan Canon
道基混元	Dao Foundation Primordial Chaos
少林坤元七式	Shaolin Earth Origin Seven Forms
归祖	Ancestral Return
御气百炼纲要	Qi Control Refinement Guide
邢氏归祖秘要	Xing Clan Return to Ancestry Secret Essentials
震雷清心秘传	Thunderclap Mind-Clearing Secret
断岳鲸吞神功	Mountain-Severing Devouring Divine Art
御神琢玉秘要	Spirit-Control Jade-Carving Esoterica
忘情神佑记	Heartless Divine Protection Records
星辰气摄经	Stellar Qi Absorption Scripture
白帝宫迅击剑	White Emperor Palace Swift Strike Sword
镇神真言	Spirit-Suppressing Mantra
牟家镇神诀	Mou Family Spirit-Suppression Art
微草流光	Flowing Light of Tiny Grass
太乙震地	Taiyi Earthshaker
归藏	Hidden Return
咒神要诀	Curse God Essential
勾陈急诵秘法	Gouchen Rapid Chant Secret Art
赤霄宫归藏宝典	Red Sky Palace's Return to Storage Treasure Canon
辛金急诵秘诀	Xin Metal Rapid Mantra Esoterica
断岳咒神	Mountain-Severing Curse God
庚辛崩天秘要	Secret Essentials of Geng-Xin Heaven-Shattering
庚辛鲸吞纪要	Geng-Xin (Metal Phase) Devouring Compendium
百炼密卷	Hundred Refinements Secret Scroll
神视秘要	Divine Vision Secret Essentials
霹雳神佑要诀	Thunderclap Divine Protection Essence
辛金多宝宝册	Tome of Xin Gold Treasures
白虎多宝宝册	White Tiger Treasure Manual
真丹摄神典	True Elixir Soul-Snatching Canon
长生饕餮神功	Longevity Gluttony Divine Art
霹雳妙手秘要	Thunderbolt Skilled Hands Secret Essentials
分神之术	Spirit-Splitting Technique
道基不朽	Immortality of Dao Foundation
坤元秘诀	Kun Yuan Secret Art
圆转要诀	Circular Flow Key Formula
琢玉宝典	Scripture of Jade Carving
黄庭琢玉	Yellow Court Jade Carving
阴阳琢玉宝册	Yin-Yang Jade-Carving Manual
甘霖术	Sweet Dew Art
五方	Five Directions
圆转秘诀	Circular Flow Secret
混元	Hybrid
蜀山坤元剑诀	Mount Shu Earth Origin Sword Art
真丹迅影剑诀	True Elixir Shadow Sword Art
玄机圆转秘法	Mystic Mechanism Cyclic Art
金雷曳影秘诀	Secret Technique of Golden Thunder Flickering Shadows
辛金蓄神秘诀	Xin Metal Spirit-Storing Esoterica
百炼秘要	Hundred Refinements Secret Essentials
金雷决意要诀	Golden Thunder Resolve Technique
真丹琢玉通卷	Complete Scroll of True Elixir Jade Carving
知节合一典	Discipline Unity Scripture
玄机多宝密卷	Mystic Mechanism Treasure Scroll
六气金钟真言	Six Qi Golden Bell Mantra
燃魂不朽神雷	Soulburn Immortal Divine Thunder Technique
朱雀震地诀	Vermilion Bird Earthshaking Art
金刚经	Vajra Sutra
金刚密卷	Vajra Secret Scroll
初解奠基经	Initial Foundation Scripture
武当金刚密卷	Wudang [Taoist] Vajra Scripture
颛孙斌上仙奠基秘册	Immortal Zhuansun Bin's Foundation Secret Manual
居紫雪上仙奠基秘册	Immortal Ju Zixue's Foundation Secret Manual
奔烈奠基经	Blazing Foundation Scripture
归祖神功	Ancestral Divine Skill
焚日清心	Sunfire Purified Heart
知节摄神典	Discipline Soul-Snatching Canon
阴阳通慧	Yin-Yang Wisdom
入道多宝秘传	Secret Tradition of Initiation Treasures
玄机神视纪要	Mystic Mechanism Spirit Sight Notes
真武录	True Martial Record
司南经	Compass Scripture
洞心咒	Heart-Piercing Curse
天枢诀	Celestial Axis Technique
天枢剑意	Celestial Pivot Sword Intent
秘宝：天枢剑	Treasure: Pivot Sword
天璇诀	Celestial Rotation Formula
天璇剑意	Sword Intent of Celestial Rotation
秘宝：天璇剑	Relic: Celestial Ploughsword
天玑诀	Celestial Mechanism Technique
天玑剑意	Sword Intent of Celestial Pivot
秘宝：天玑剑	Artifact: Celestial Pivot Sword
天权诀	Celestial Pivot Technique
天权剑意	Celestial Pivot Sword Intent
秘宝：天权剑	Artifact: Celestial Authority Sword
玉衡诀	Jade Balance Formula
玉衡剑意	Jade Balance Sword Intent
秘宝：玉衡剑	Artifact: Jade Balance Sword
开阳诀	Opening Yang Technique
开阳剑意	Sword Intent of Opening Yang
秘宝：开阳剑	Artifact: Kaiyang Sword
摇光诀	Shaking Light Formula
摇光剑意	Shaking Light Sword Intent
秘宝：摇光剑	Artifact: Yaoguang Sword
劫心咒	Heart-Stealing Curse
赦心咒	Heart-Absolution Curse
雷暴术	Thunderstorm Technique
北斗剑界	Sword Realm of the Big Dipper
星斗之眼	Star Pupil
北斗绝式-七星诀	Big Dipper Ultimate Technique - Seven Stars Formula
北斗绝式-北极剑	Big Dipper Ultimate Style - North Pole Sword
北斗绝式-归一剑	Big Dipper Ultimate Technique - Return to One Sword
御气混元秘诀	Qi Control Hybrid Secret Art
碧光开天神雷	Jade Light Heaven-Opening Thunder
金刚秘法	Vajra Secret Method
南海迅击	South Sea Swift Strike
决意纪要	Compendium of Resolve
神龟秘传	Divine Turtle Secret Transmission
苍木百炼密卷	Azure Wood Refinement Secret Scroll
阴阳合一书	Yin Yang Unity Canon
真丹鬼手秘法	Secret Method of True Elixir Ghost Hand
东海气摄秘传	Eastern Sea Qi Control Secret
暴雨术	Rainstorm
归源清心	Heart Cleansing of Origin Return
壬水镇神咒	Ren Water Spirit-Suppressing Curse
白帝宫金刚宝典	White Emperor Palace's Vajra Treasure Canon
归源琢玉	Origin-Returning Jade Carving
赤霄宫辟谷经	Red Sky Palace Fasting Scripture
壬水鲸吞神功	Ren Water Devouring Art
百草阁清心秘传	Hundred Herbs Pavilion's Heart Purification Secret Tradition
未来星宿万古秘要	Future Constellations Eternal Secret Key
冷月合一宝典	Frostmoon Unity Codex
焚风术	Scorching Wind Art
腾岳化伤咒	Mountain-Leaping Healing Curse
麒麟流光真言	Kirin Flowing Light Mantra
奠基秘法	Foundation Secret Method
金刚	Vajra
逯氏奠基经	Lu Clan Foundation Scripture
多宝秘传	Treasures Secret Transmission
麒麟多宝纲要	Kirin Treasure Compendium
腾岳清心秘传	Soaring Peak Serenity Secret Art
彻法万古纪要	Eternal Law Compendium
大日多宝纲要	Solar Treasure Compendium
地龙合一要诀	Earth Dragon Fusion Technique
麒麟多宝	Kirin Treasures
腾岳百炼宝册	Soaring Peak Refinement Manual
长生飞星神雷	Longevity Shooting Star Thunder
五气诀	Five Qi Technique
流光神雷	Divine Thunder of Flowing Light
崩天	Heaven-Sundering
归藏秘要	Secret of Gui Cang
御气神农要诀	Qi Control Divine Farmer Formula
多宝宝典	Scripture of Multitude Treasures
乙木鬼手	Ghost Hand of Yi Wood
万木鲸吞	Ten Thousand Trees Leviathan's Maw
化形百炼纲要	Transformation Refinement Compendium
真丹神农	Divine Farmer of True Elixir
紫薇琢玉宝册	Purple Tapestry Jade Polishing Treasure Manual
紫霄万古纪要	Purple Firmament Eternal Compendium
五台琢玉通卷	Wutai Jade-Carving Scroll
南海蓄神剑诀	South Sea Spirit Accumulation Sword Art
镇岳蓄神秘要	Secret Essentials of Mountain-Suppressing Spirit Accumulation
阴阳清心	Yin Yang Serene Heart
玄关决意	Mystic Pass Resolve
炎神殿百炼纲要	Flame God Hall's Hundred Refinements Compendium
星辰鬼手秘法	Star Ghost Hand Secret Method
戊己决意	Resolve of Wu Ji
行疆决意秘传	Frontier Resolve Esoterica
蓄神七式	Seven Forms of Spirit Accumulation
甘霖	Sweet Rain
黄芽不坏咒	Yellow Sprout Invulnerability Curse
黄庭金刚	Huangting Diamond
五戒金刚经	Five Precepts Vajra Scripture
燃魂金刚秘法	Secret Method of Soul-Burning Vajra
炽凰奠基宝典	Phoenix Foundation Canon
奔烈金刚经	Galloping Diamond Sutra
妙手丹方	Miraculous Elixir Formula
丙丁气摄经	Bing Ding Qi Absorption Scripture
龙虎辟谷	Dragon-Tiger Fasting
范家合一记	Fan Family Unity Record
凌霄神视神功	Heavenly Spirit Sight Art
赤日神视纪要	Crimson Sun Spirit Sight Notes
丙丁神视	Divine Vision of Bing Ding
星辰通慧秘要	Stellar Wisdom Esoterica
蜀山急诵	Shu Mountain Rapid Chant
三才七星真言	Three Talents Seven Stars Mantra
天星	Celestial Star
冷月镇神神雷	Cold Moon Spirit-Suppressing Divine Thunder
迅击决	Swift Strike Technique
寇豪真人鬼手宝册	Real Person Kouhao's Ghost Hand Treasure Manual
凝光百炼宝典	Condensed Light Refinement Canon
长生清心纪要	Longevity Serenity Compendium
归源妙手宝册	Return to Source Skilled Hands Treasure Manual
心斋	Heart's Retreat
养吾经	Nourishing Self Scripture
寄情之术	Emotion-Projecting Technique
坐忘论	Sitting Forgetfulness Treatise
七情剑	Seven Emotions Sword
如意幻境	Illusory Realm of Ruyi
同心诀	Unified Heart Technique
脱胎换骨	Rebirth Through Transformation
长生诀	Longevity Technique
心剑	Heart Sword
太上忘情	Supreme Emotionless State
秘宝：清宁飞羽	Treasure: Tranquil Feathers
风神云体	Wind God Cloud Body
斩道见我	Severing the Dao to See the Self
斩念剑	Thought-Severing Sword
极情剑	Extreme Passion Sword
南海心光咒	South Sea Heart Light Curse
不坏真言	True Words of Indestructibility
飞星诀	Shooting Star Technique
行疆不朽真言	Incantation of Borderland Immortality
蓄神密卷	Spirit Accumulation Secret Scroll
迅击剑诀	Swift Strike Sword Formula
圆转七式	Circular Seven Forms
大日曳影秘法	Solar Shadow-Dragging Art
知节混元要诀	Primordial Chaos Technique of Discipline and Harmony
华山迅影秘要	Huashan Shadowblitz Secret
戊己神农丹方	Wu-Ji Divine Farmer's Elixir Formula
琢玉	Jade Carving
黄芽摄神	Spirit Capture of Yellow Sprout
万里神佑书	Ten Thousand Li Divine Blessing Book
彻法琢玉	Penetrating Jade Carving
太乙鬼手通卷	Taiyi Ghost Hand Compendium
坤元气摄经	Earth Qi Absorption Scripture
化形飞星咒	Transformation Shooting Star Curse
六气流光诀	Six Qi Radiance Art
坤元燃灵诀	Kun Yuan Soul-Burning Art
归藏秘诀	Returning Secret Art
五台崩天经	Wutai Heaven-Collapsing Scripture
鲸吞要诀	Leviathan's Maw Key Formula
地龙鬼手通卷	Earth Dragon Ghost Hand Complete Scroll
西海琢玉秘传	Western Sea Jade-Carving Esoterica
西海鬼手	Western Sea Ghost Hand
单于凡柔真人琢玉宝册	Real Person Chanyu Fanrou's Jade Carving Treasure Manual
蔺晶上仙鬼手秘法	Immortal Linjing's Ghost Hand Secret Method
造化百炼秘要	Creation Refinement Secret Essentials
惊波落花诀	Shockwave Blossom Art
逆浪甘霖咒	Countercurrent Nectar Curse
百汇覆天神雷	Convergence Heaven-Covering Thunder
真丹覆天神雷	True Elixir Heaven-Covering Thunder
紫薇金刚经	Purple Star Diamond Sutra
癸水金刚秘册	Gui Water Diamond Manual
彻法金刚	Vajra Through Law
神龟	Divine Turtle
知节佛心书	Discipline Buddha Heart Canon
紫云宫妙手	Violet Cloud Palace Skilled Hands
百草阁归祖	Hundred Herbs Pavilion Ancestral Return
万源归真百炼	Ten Thousand Sources Refined Truth
现在贤长青秘法	Secret Method of Present Sage's Evergreen
玄武饕餮神功	Black Tortoise Gluttony Art
御气陨星咒	Qi Command Falling Star Curse
四象诀	Four Symbols Technique
忘情镇神神雷	Emotionless Spirit-Suppressing Thunder
嵩山金钟真言	Songshan Golden Bell Mantra
坤元	Earth Origin
千钧秘法	Secret Method of Thousand Jun
玄机金刚秘册	Secret Manual of Mystic Mechanism Vajra
神佑册	Divine Protection Tome
龙虎沃野宝典	Tome of Dragon-Tiger Fertile Land
赤月摄神要诀	Crimson Moon Mind Control Art
玄关归祖纪要	Mystic Pass Return to Ancestry Compendium
鸿蒙摄神书	Primordial Chaos Spirit Capture Book
驱云诀	Cloud-Dispelling Technique
玄武落花咒	Black Tortoise Falling Blossom Curse
黄庭通天	Yellow Court Heaven Piercing
太上覆灭咒	Celestial Annihilation Curse
迅影十三式	Thirteen Lightning Shadow Strikes
迅击宝典	Swift Strike Treasure Canon
破灭秘要	Secret of Annihilation
神视秘传	Divine Vision Secret Transmission
琢玉宝册	Jade-Carving Treasure Manual
逆浪琢玉	Countercurrent Jade Carving
太乙多宝宝典	Taiyi Treasure Codex
紫云宫佛心记	Purple Cloud Palace Buddha Heart Record
壬水多宝要诀	Ren Water Treasures Technique
东华咒神卷	Eastern Glory Curse Spirit Scroll
先天一气神雷	Innate Primordial Qi Divine Thunder
行疆陨星真言	Borderlands Meteor Mantra
御气九极咒	Qi-Control Nine Extremities Curse
迅击秘要	Secret of Swift Strike
归藏经	Hidden Return Sutra
戊己崩天	Wu-Ji Heaven-Shattering
五戒蓄神经	Five Precepts Spirit-Storing Scripture
真丹归藏	True Elixir Returning
紫云宫归藏要诀	Purple Cloud Palace's Return to Storage Key
麒麟崩天卷	Kirin Heaven-Shattering Scroll
炎神殿奠基秘法	Flame God Hall's Foundation Secret Art
天岭饕餮秘法	Celestial Ridge Gluttony Art
白帝宫清心秘传	White Emperor Palace's Heart Purification Secret Tradition
淳于氏气摄神功	Chunyu Clan's Soul Devouring Divine Art
地龙摄神	Earth Dragon Spirit Capture
鸿蒙饕餮	Primordial Gluttony
迅击	Swift Strike
行疆混元秘法	Trekking Stone Primordial Secret Method
三才清心诀	Three Talents Mind-Clearing Art
赤霄宫不坏	Crimson Sky Palace Indestructible
武当不朽真言	Wudang Immortal Mantra
迅击经	Swift Strike Sutra
多宝七签	Multi-Treasure Seven Signs
阴阳崩天经	Yin-Yang Heaven-Shattering Scripture
天岭归藏	Celestial Ridge Returning
嵩山神农通卷	Songshan Divine Farmer Scroll
五台决意	Resolve of Wutai
化形饕餮	Gluttonous Metamorphosis
现在贤鲸吞纪要	Summary of Present Sage's Devouring
玄关神龟纪要	Mystic Gate Spirit Turtle Notes
归真清心秘要	Truth-Return Heart-Cleansing Esoterica
逆浪金刚	Countercurrent Vajra
奔烈神农宝册	Galloping Fervor Divine Farmer Treasure Manual
星辰急诵七签	Stellar Sevenfold Mantra
甲乙奠基宝典	Jia-Yi Foundation Canon
白虎千钧十式	White Tiger's Ten Thousand Jun Forms
造化流光	Creation's Radiance
赤月流光咒	Crimson Moon Radiance Curse
玄金燃灵神雷	Mystic Metal Soul-Burning Thunder
白帝宫先天一气神雷	White Emperor Palace's Innate Qi Divine Thunder
壬水天星诀	Water Star Art
南海七星	Seven Stars of South Sea
鸿蒙飞星	Primordial Shooting Star
臧家化影	Zang Family Shadow Transformation
断岳五气	Five Qi of Mountain Cleaving
过去庄严流光真言	Past Majesty Flowing Light Mantra
腾岳镇神诀	Mountain-Leaping Spirit-Suppression Art
御神绝杀神雷	Divine Control Annihilation Thunder Technique
归真先天一气诀	Return to Truth Innate Qi Art
白帝宫绝杀咒	White Emperor Palace's Killing Curse
白帝宫落花神雷	White Emperor Palace's Petals Fall Heavenly Thunder
天金镇神咒	Celestial Metal Spirit-Suppressing Curse
长生镇神咒	Longevity Spirit-Suppressing Curse
紫霄落花神雷	Purple Firmament Falling Blossom Thunder
星辰流光真言	Stellar Radiance Mantra
壬癸飞星神雷	Ren-Gui (Water Phase) Shooting Star Thunder
紫霄金钟真言	Purple Void Golden Bell Mantra
嵩山化影神雷	Song Mountain Shadow Thunder
蜀山镇神诀	Mount Shu Spirit-Suppressing Art
癸水天星	Gui Water Celestial Star
百汇四象	Four Symbols of Bai Hui
蜀山十二都天咒	Shu Mountain Twelve Stars of Heaven Grand Mantra
御神飞星咒	Spirit-Control Shooting Star Curse
星辰十二都天咒	Twelve Stars of Heaven Grand Mantra
据传丹霞洞天的大能夏泰在炼丹峰出没。	It's said the mighty Xia Tai of Danxia Grotto-Heaven has been spotted at Alchemy Peak.
