ID	Secret	Title	Type	BeiZhu	Source	Txt	RelationEvidence	RelationMotivation
31	10000	ความลับโบราณ	1	มหาราชวังบูรพา	ผู้อาวุโสแห่งสำนักสราญรมย์ - หยินเหลียน	จากคำบอกเล่าของผู้อาวุโสหยินเหลียนแห่งสำนักสราญรมย์ "โลกจักรวาล" นั้นนับว่าเป็นสมบัติวิเศษขั้นสุดยอดของมหาราชวังบูรพาซึ่งเป็นสำนักอันยิ่งใหญ่ในสมัยบรรพกาล อย่างไรก็ตาม ความยากในการสร้างสมบัติวิเศษที่มีความสามารถในการเปิดช่องว่างมิตินั้นเป็นสิ่งที่มิอาจจินตนาการได้เลย หากไม่มีเหตุจำเป็นจริงๆ ละก็ มันก็ไม่มีเหตุผลใดๆ ที่จะต้องพยายามสร้างสมบัติดังกล่าวออกมา เป็นที่น่าสงสัยว่าสุดท้ายแล้วสมบัติดังกล่าวส่งผ่านไปยังมือของสำนักไท้อี้ได้อย่างไร และในท้ายที่สุดมันก็นำมาซึ่งความพินาศของพวกเขา?	32	30|40
32	10000	ความลับโบราณ	2		บันทึกลับไท้อี้	จากสิ่งที่บันทึกไว้ใน "บันทึกลับไท้อี้" มหาราชวังบูรพานั้นเป็นสำนักผู้นำของโลกแห่งผู้ฝึกตน ศิษย์ทุกคนต่างมีพลังที่แข็งแกร่งเป็นอย่างมาก ทว่าในช่วง 1000 ปีก่อน ได้เกิดการเปลี่ยนแปลงอย่างหนึ่งที่แทบจะทำลายมหาราชวังบูรพาไปจนหมดสิ้น หลังการเปลี่ยนแปลงนั้นทำให้วิชาการบ่มเพาะของพวกเขากลายเป็นวิชาต้องห้าม อีกทั้งประวัติข้อมูลทั้งหมดเกี่ยวกับสำนักก็ถูกทำลายและถูกทำให้เหมือนกับว่ามันไม่เคยมีสำนักเช่นนี้อยู่ ร้อยปีต่อมามรดกลับที่พวกเขาซ่อนมันเอาไว้ก็ปรากฏออกมาอย่างเงียบๆ เพื่อหลีกเลี่ยงจากสายตาของผู้คน พวกเขาได้ก่อตั้งสำนักเล็กๆ แห่งหนึ่งที่มีชื่อว่า "สำนักไท้อี้"!		
33	10000	ความลับโบราณ	0		ความลับโบราณ: สนามรบซากสวรรค์ เล่มที่ 7	จากคำบอกเล่าของ "ความลับโบราณ: สนามรบซากสวรรค์ เล่มที่ 7" ในช่วงสงครามครั้งที่สอง มีสำนักสองสำนักได้สมรู้ร่วมคิดกับมหาจอมปีศาจ ซึ่งการกระทำนั้นเกือบจะนำพาจุดจบมาสู่โลก เจ้าสำนักแห่งมหาราชวังบูรพาได้เสียสละตัวเองให้แก่เต๋าแห่งสวรรค์เพื่ออันเชิญจักรพรรดิ์ตะวันออกมากวาดล้างปีศาจเหล่านั้นด้วยสายฟ้าจากสวรรค์จนได้รับชับชนะ ทว่าถึงแม้ว่าพวกเขาจะได้รับชัยชนะ แต่มันก็เป็นชัยชนะที่ขมขื่นเป็นอย่างมาก		
34	10000	ความลับโบราณ	0		ผู้อาวุโสแห่งสำนักสราญรมย์ - หยินเหลียน	จากคำบอกเล่าของผู้อาวุโสหยินเหลียนแห่งสำนักสราญรมย์ ในสมัยโบราณนั้นมีนิกายมารที่ยิ่งใหญ่อยู่10นิกายได้แก่: สำนักกายาสีชาด, สำนักเจ็ดวิถีสังหาร, สำนักโลหิต, นิกายสุริยันจันทราศักดิ์สิทธิ์, ภาคีหยินหยาง, นิกายทะเลอารมณ์, นิกายมารสวรรค์, อารามพันอสูร, นิกายเทพธิดาปฐพี, นิกายจันทราภาวนา		
35	10000	ความลับโบราณ	0		ผู้อาวุโสแห่งสำนักสราญรมย์ - หยินเหลียน	จากคำบอกเล่าของผู้อาวุโสหยินเหลียนแห่งสำนักสราญรมย์ สำนักสราญรมย์นั้นมีมรดกที่สืบทอดกันมาตั้งแต่สมัยโบราณ ซึ่งในสมัยนั้นสำนักของพวกเขายังมีชื่อว่าภาคีหยินหยาง		
36	10000	ความลับโบราณ	0		ผู้อาวุโสแห่งสำนักสราญรมย์ - หยินเหลียน	จากคำบอกเล่าของผู้อาวุโสหยินเหลียนแห่งสำนักสราญรมย์ นิกายเทพธิดาปฐพีนั้นเป็นนิกายที่มีอำนาจมากที่สุดในภูมิภาคตะวันตกของโลกผู้ฝึกตน ว่ากันว่ามีศิษย์นับแสนคนอยู่ในนิกายของพวกเขา หลังจากมหาสงครามของเซียนและปีศาจ พวกเขากลับถูกทำลายล้างไปจนเกือบหมด แต่ก็ยังมีสาขาของพวกเขาอยู่แห่งหนึ่งที่มิได้ถูกทำลายและได้ก่อตั้งขึ้นมาใหม่ในนามของนิกายหลุมอเวจี		
37	10002	ข้อสรุปที่ทราบ	1	สำนักเจ็ดวิถีสังหาร สำนักสราญรมย์ นิกายหลุมอเวจี		ไม่ต้องสงสัยเลยว่าสำนักเจ็ดวิถีสังหาร, สำนักสราญรมย์ และนิกายหลุมอเวจี ได้แอบมีส่วนร่วมในการทำลายสำนักไท้อี้ อีกทั้งยังเก็บซ่อนความเกลียดชังบางอย่างต่อสำนักไท้อี้เอาไว้ ทว่าสำนักไท้อี้นั้นเป็นเพียงแค่สำนักเล็กๆ ที่ก่อตั้งมาได้ราวๆ แค่ร้อยปีเท่านั้น ในขณะที่ทั้งสามสำนักนั่นเป็นถึงสำนักอันทรงพลังเป็นอย่างมากในหมู่นิกายแห่งมารด้วยกัน ความเกลียดชังที่อธิบายไม่ได้นี้เป็นสิ่งที่เข้าใจยากจริงๆ	32	33|34|35|36|40
38	10000	ความลับโบราณ	0		ความลับโบราณ: สนามรบซากสวรรค์ เล่มที่ 5	จากคำบอกเล่าของ "ความลับโบราณ: สนามรบซากสวรรค์ เล่มที่ 5" ในช่วงที่มหาสงครามครั้งที่สองระหว่างเซียนและปีศาจกำลังจะเริ่มต้นขึ้น มหาราชวังบูรพาได้เตรียมการรบโดยการรวบกำลังของฝ่ายมนุษย์เพื่อสร้างแนวร่วมเพื่อต่อต้านพวกปีศาจ ทว่าอารามเมฆาม่วงกลับไม่ยอมเข้าร่วมกองกำลังในครั้งนี้ ในช่วงเวลานั้นเอง เพื่อเป็นการฟื้นฟูวินัยให้กับกองทัพของผู้ฝึกตน เจ้าสำนักแห่งมหาราชวังบูรพาจึงได้ลงมือสังหารเจ็ดผู้อาวุโสของอารามเมฆาม่วงในข้อหากบฏ จากนั้นแนวร่วมและกองกำลังที่เป็นอันหนึ่งอันเดียวกันจึงได้รับการสถาปนาก่อตั้งขึ้นและทำให้พวกเขาก็ได้ชัยชนะจากสงครามครั้งนั้น ทว่าเหตุการณ์ที่เกิดขึ้นกับอารามเมฆาม่วงในครั้งนั้นมันก็ได้ทำให้เกิดความขัดแย้งภายในอย่างรุนแรงขึ้นในโลกของผู้ฝึกตนฝ่ายธรรมะ มหาราชวังบูรพาได้บังคับให้อารามเมฆาม่วงสาบานว่าจะเป็นแนวหน้าในการออกรบยามเมื่อเกิดมหาสงครามระหว่างเซียนและปีศาจครั้งที่สาม		
39	10002	ข้อสรุปที่ทราบ	1	อารามเมฆาม่วง		ไม่ต้องสงสัยเลยว่าอารามเมฆาม่วงนั้นเกี่ยวข้องโดยตรงกับการล่มสลายของสำนักไท้อี้ ดูเหมือนว่าพวกเขาจะมีความกังวลใจและหวาดกลัวต่อสำนักไท้อี้ การกระทำของพวกเขานั้นเต็มไปด้วยความระมัดระวังและพวกเขาก็ได้ยืมมือภูเขาร้อยแมลงในการลงมือกำจัดสำนักไท้อี้ ทว่าสำนักไท้อี้นั้นเป็นเพียงแค่สำนักเล็กๆ ที่ก่อตั้งมาได้ราวๆ แค่ร้อยปีเท่านั้น ในขณะอารามเมฆาม่วงนั้นเป็นสำนักที่ทรงพลังมาตั้งแต่สมัยโบราณกาล ความเกลียดชังที่อธิบายไม่ได้นี้เป็นสิ่งที่เข้าใจยากจริงๆ	32	38|40
40	10000	ความลับโบราณ	0		ความลับโบราณ: สนามรบซากสวรรค์ เล่มที่ 1	จากคำบอกเล่าของ "ความลับโบราณ: สนามรบซากสวรรค์ เล่มที่ 1" หลังจากที่สามจักรพรรดิได้จุติไปยังแดนสวรรค์ มีเพียงจักรพรรดิตะวันออกเท่านั้นที่ได้ทิ้งวิชาและคำสอนของเขาเอาไว้ที่มหาราชวังบูรพา ทำให้พลังของมหาราชวังบูรพานั้นไร้ผู้เทียมจนถึงขนาดที่มีการเฉลิมฉลอไปทั่วทั้งอาณาจักร ภายใต้การปกครองของพวกเขา เผ่ามนุษย์ได้รับชัยชนะทั้งสองครั้งในมหาสงครามระหว่างเซียนและปีศาจ พลังของพวกเขาจึงเป็นที่กล่าวขานกันไปทั่วทั้งโลกของผู้ฝึกตน		
41	10001	เรื่องราวต้องห้าม	0		ม้วนคัมภีร์นาวาทองคำ	จากคำบอกเล่าของ "ม้วนคัมภีร์นาวาทองคำ" เมื่อพันปีก่อน มหาราชวังบูรพาได้ก่อให้เกิดความโกลาหลในโลกแห่งผู้โดยมีจุดประสงค์เพื่อทำลายรากฐานของการบำเพ็ญตนที่มีทั้งหมดบนโลกใบนี้ ว่ากันว่าเจ้าสำนักของมหาราชวังบูรพาได้ถูกแทรกซึมโดยไอปีศาจในช่วงสงครามแห่งเซียนและปีศาจ เขาได้ทำการดัดแปลงวิชาแห่งธาตุทั้งห้าที่จักรพรรดิตะวันออกได้ทิ้งเอาไว้ให้กลายเป็นวิชาปีศาจและจบลงด้วยความคิดที่ต้องการที่จะทำลายโลกแห่งผู้ฝึกตน ในที่สุดเขาก็เป็นที่รู้จักกันในฐานะจักรพรรดิปีศาจ ผู้ที่ปกครองโลกอย่างเหี้ยมโหดด้วยพลังอันไร้ผู้เทียม\nเพื่อความอยู่รอด ผู้ฝึกตนทั้งฝ่ายเซียนและฝ่ายมารต่างก็ร่วมมือกันต่อสู้กับมหาราชวังบูรพา การต่อสู้ดำเนินไปอย่างดุเดือดเป็นเวลากว่าทศวรรตก่อนที่มหาราชวังบูรพาจะถูกทำลายไปในที่สุด	
42	10002	ข้อสรุปที่ทราบ	1	แปดมหานิกาย		ไม่ต้องสงสัยเลยว่าภูเขาร้อยแมลงไม่ใช่คนกลุ่มเดียวเท่านั้นที่ลงมือ อารามเมฆาม่วงเองก็ได้ส่งคนไปจัดวางค่ายกลมังกรเอาไว้ก่อนแล้ว ที่น่าตกใจไปกว่านั้นคือ เบื้องหลังของสองสำนักนี้ ยังมีอีกหกสำนักทั้งของฝ่ายธรรมะและฝ่ายมารที่วางแผนอยู่ในเงามืด ได้แก่ สำนักสราญรมย์, สำนักเจ็ดวิถีสังหาร, นิกายหลุมอเวจี, นิกายม่านฟ้า ตำหนักคุนหลุน และ อารามเมฆาม่วง อย่างไรก็ตามทัศนคติของพวกเขาที่มีต่อสำนักไท้อี้นั้นค่อนข้างละเอียดอ่อน ไม่ว่าจะเกิดอะไรขึ้น เห็นได้ชัดว่าสิ่งนี้ไม่สามารถอธิบายได้ด้วยความรักและความเกลียดชังที่เรียบง่าย มันจะต้องมีความลับที่ลึกกว่านี้อยู่เบื้องหลังเป็นแน่	32	40|41
43	10000	บทส่งท้าย: ความลับโบราณ	0		ผู้อาวุโสแห่งสำนักสราญรมย์ - หยินเหลียน	จากคำบอกเล่าของผู้อาวุโสหยินเหลียนแห่งสำนักสราญรมย์ ในปัจจุบันนั้นมีน้อยคนนักที่จะสามารถตีความข้อมูลจากบันทึกในสมัยโบราณได้ นั่นเป็นเพราะในขณะนั้น ปีศาจได้รุกรานอาณาจักรมนุษย์บ่อยครั้ง ดังนั้นผู้ฝึกตนทั้งหมดของเผ่ามนุษย์จึงเริ่มใช้คาถาลับเพื่อปิดผนึกข้อความของพวกเขา เมื่อข้อความได้ถูกปิดผนึกแล้ว มันจะสามารถเปิดผนึกได้โดยใช้เลือดมนุษย์เป็นตัวคลายอาคมเท่านั้น นี่ก็เพื่อป้องกันไม่ให้ปีศาจที่แอบแฝงตัวเข้ามาในอาณาจักรมนุษย์ล้วงเอาข้อมูลลับต่างๆ ออกไป		
