房间	Room
紫霄鲸吞密卷	Purple Firmament Devouring Secret Scroll
太阴锻体	Lunar Forging Body
少阴锻体	Body Forging of Lesser Yin
玄阴锻体	Body Forging of Profound Yin
瞬形法	Instant Form Method
九幽炼神	Nine Nethers Spirit Refinement
太虚神盾	Great Void Divine Shield
少阴诀	Lesser Yin Formula
玄阴诀	Profound Yin Formula
幽狱诀	Nether Prison Technique
坤元真气	Earthly Origin True Qi
一剑	One Sword
秘宝：一剑	Treasure: Single Sword
