房间	Room
细雨霏霏，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得很气闷。	"Amid drizzling rain, <font color=MYCOLOR>Dongzhirou</font> suddenly felt choked up while <font color=OBJCOLOR>dancing</font>."
21天 03:48	21d 03:48
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>精致的房间</font>心情不错，忍不住来<font color=OBJCOLOR>听雨</font>抒怀。	<font color=MYCOLOR>Dong Zhirou</font> is in a good mood due to the <font color=OBJCOLOR>well-decorated room</font> and can't help but <font color=OBJCOLOR>listen to the rain</font> to express [HIS] feelings.
21天 07:29	21d 07:29
小雨如酥，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	"Amid gentle drizzle, <font color=MYCOLOR>Zhirou</font> was overcome with homesickness during <font color=OBJCOLOR>performing music</font>."
21天 13:07	21d 13:07
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	"On a clear and sunny day, <font color=MYCOLOR>Dongzhirou</font> abruptly shed tears while <font color=OBJCOLOR>playing music</font>."
23天 10:14	23d 10:14
未时，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	"In the afternoon, <font color=MYCOLOR>Dong Zhirou</font> suddenly shed tears while <font color=OBJCOLOR>playing music</font>."
23天 14:06	23d 14:06
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点热</font>的情绪困扰，只能<font color=OBJCOLOR>跳舞</font>来放空心灵。	<font color=MYCOLOR>Dong Zhirou</font> was troubled by <font color=OBJCOLOR>slight agitation</font> and could only empty [her] mind by <font color=OBJCOLOR>dancing</font>.
24天 04:02	24d 04:02
日始时分，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	"At sunrise, <font color=MYCOLOR>Dong Zhirou</font> couldn't help but hum along softly while <font color=OBJCOLOR>playing music</font>."
24天 06:59	24d 06:59
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	"Under a clear sky, <font color=MYCOLOR>Dong Zhirou</font> suddenly found the nearby <font color=OBJCOLOR>Spirit Crystal Wall</font> particularly interesting while <font color=OBJCOLOR>studying the ceiling</font>.."
24天 07:57	24d 07:57
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，不小心扭了一下脚。	"Under clear skies, <font color=MYCOLOR>Dong Zhirou</font> accidentally twisted ankle while <font color=OBJCOLOR>dancing</font>."
24天 15:00	24d 15:00
破晓时分，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>跳舞</font>，突然想起自己的<font color=OBJCOLOR>仇家陈慵醉</font>。	"At the break of dawn, <font color=MYCOLOR>Dong Zhi rou</font> quietly <font color=OBJCOLOR>danced</font>, when suddenly the cultivator remembered <font color=OBJCOLOR>nemesis Chen Yong zui</font>."
25天 06:26	25d 06:26
门派中，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>狼肉</font>。	"In the sect, <font color=MYCOLOR>Dong Zhirou</font> suddenly craves <font color=OBJCOLOR>Wolf Meat</font> while <font color=OBJCOLOR>contemplating the sky</font>."
26天 04:26	26d 04:26
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得很气闷。	"On a clear and sunny day, <font color=MYCOLOR>Zhirou</font> suddenly felt stifled while <font color=OBJCOLOR>performing music cultivation</font>."
27天 14:32	27d 14:32
30天 03:08	30d 03:08
卯时，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>凝神望天</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	"At dawn, <font color=MYCOLOR>Dong Zhirou</font> quietly <font color=OBJCOLOR>gazed at the sky</font> and suddenly remembered [HER] <font color=OBJCOLOR>father Dong Ming</font>."
30天 06:54	30d 06:54
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点热</font>的情绪困扰，只能<font color=OBJCOLOR>读书品卷</font>来放空心灵。	"<font color=MYCOLOR>Dong Zhirou</font> was troubled by a <font color=OBJCOLOR>slight heat</font> in [HER] mood, and could only <font color=OBJCOLOR>peruse scrolls</font> to clear [HER] mind."
31天 14:20	31d 14:20
黎明时分，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	"At dawn, <font color=MYCOLOR>Zhirou</font> was overcome with homesickness during <font color=OBJCOLOR>performing music</font>."
32天 04:24	32d 04:24
日禺之时，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	"In the mid-morning, <font color=MYCOLOR>Zhirou</font> was overcome with homesickness during <font color=OBJCOLOR>performing music</font>."
32天 10:02	32d 10:02
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>程雪青</font>的模样。	"Under clear skies, <font color=MYCOLOR>Dong Zhi rou</font> was <font color=OBJCOLOR>plucking the zither</font> when the image of <font color=OBJCOLOR>Cheng Xue qing</font> suddenly surfaced in the cultivator's mind."
35天 17:37	35d 17:37
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，不小心踢到了旁边的<font color=OBJCOLOR>野草</font>。	"Under clear skies, <font color=MYCOLOR>Dong Zhirou</font> accidentally kicked some nearby <font color=OBJCOLOR>wild grass</font> while <font color=OBJCOLOR>dancing</font>."
37天 04:47	37d 04:47
日央之刻，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，不小心扭了一下脚。	"At high noon, <font color=MYCOLOR>Dong Zhirou</font> accidentally twisted ankle while <font color=OBJCOLOR>dancing</font>."
37天 14:22	37d 14:22
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点冷</font>的情绪困扰，只能<font color=OBJCOLOR>看天花板</font>来放空心灵。	"<font color=MYCOLOR>Dong Zhirou</font> was troubled by a <font color=OBJCOLOR>slight chill</font> in [HER] mood, and could only <font color=OBJCOLOR>stare at the ceiling</font> to clear [HER] mind."
37天 16:49	37d 16:49
门派中，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	"Within the sect, <font color=MYCOLOR>Dong Zhirou</font> suddenly felt homesick while <font color=OBJCOLOR>playing music</font>."
37天 18:59	37d 18:59
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>吉宅</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>Zhirou</font> was in good spirits due to <font color=OBJCOLOR>fortune-blessed abode</font> and couldn't help but <font color=OBJCOLOR>read books</font> to give vent to [HER] feelings.
38天 10:35	38d 10:35
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>随便看看</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	"On a bright and clear day, <font color=MYCOLOR>Dong Zhirou</font> found the nearby <font color=OBJCOLOR>Spirit Stone Wall</font> quite intriguing while <font color=OBJCOLOR>browsing around</font>.."
39天 07:24	39d 07:24
门派中，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，突然流下眼泪。	"In the sect, <font color=MYCOLOR>Zhirou</font> teared up during <font color=OBJCOLOR>dancing</font>."
42天 04:26	42d 04:26
东方渐白，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>程雪青</font>的模样。	"As the eastern sky brightened, <font color=MYCOLOR>Dong Zhirou</font> suddenly envisioned <font color=OBJCOLOR>Cheng Xueqing</font>'s face while <font color=OBJCOLOR>playing music</font>."
43天 03:22	43d 03:22
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得旁边的<font color=OBJCOLOR>寒精门派石碑</font>很有意思……	"On a bright and clear day, <font color=MYCOLOR>Dong Zhirou</font> suddenly found the nearby <font color=OBJCOLOR>Ice Essence Sect Stele</font> rather fascinating while <font color=OBJCOLOR>dancing</font>.."
43天 17:34	43d 17:34
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	"On a bright and clear day, <font color=MYCOLOR>Dong Zhirou</font> found the nearby <font color=OBJCOLOR>Spirit Crystal Wall</font> quite intriguing while <font color=OBJCOLOR>reading</font>.."
43天 23:17	43d 23:17
夜幕深沉，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得很气闷。	"Under the deep night sky, <font color=MYCOLOR>Dongzhirou</font> unexpectedly felt oppressed while <font color=OBJCOLOR>playing music</font>."
45天 22:44	45d 22:44
日始时分，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>随便看看</font>，突然想起自己的<font color=OBJCOLOR>仇家陈慵醉</font>。	"At daybreak, <font color=MYCOLOR>Dong Zhirou</font> quietly <font color=OBJCOLOR>was looking around</font> when thoughts of <font color=OBJCOLOR>his/her nemesis Chen Yongzui</font> suddenly emerged."
46天 05:56	46d 05:56
日落时分，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，不小心扭了一下脚。	"At sunset, <font color=MYCOLOR>Dong Zhirou</font> accidentally twisted ankle while <font color=OBJCOLOR>dancing</font>."
46天 18:58	46d 18:58
二更时分，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	"In the second watch of night, <font color=MYCOLOR>Dong Zhirou</font> suddenly felt homesick while <font color=OBJCOLOR>playing music</font>."
46天 21:19	46d 21:19
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	"Under the cloudless sky, <font color=MYCOLOR>Dong Zhirou</font> suddenly shed tears while <font color=OBJCOLOR>playing music</font>."
48天 14:40	48d 14:40
鸟倦云舒，<font color=MYCOLOR>董之柔</font>在翻阅古书时，突然发现封页厚度有些不正常。<font color=MYCOLOR>董之柔</font>挑开封页，竟然从中找到一张古朴的符咒。	"Weary birds and drifting clouds, <font color=MYCOLOR>Zhirou</font> noticed something unusual about the thickness of an ancient book's cover while flipping through it. Peeling it open, <font color=MYCOLOR>Zhirou</font> unexpectedly discovered an archaic talisman hidden within."
48天 17:09	48d 17:09
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>邪帝陵</font>看看。	"Under cloudless skies, <font color=MYCOLOR>Dong Zhirou</font> suddenly desired to see <font color=OBJCOLOR>Evil Emperor Mausoleum</font> while <font color=OBJCOLOR>playing music</font>."
49天 23:49	49d 23:49
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	"Under cloudless skies, <font color=MYCOLOR>Dong Zhirou</font> couldn't help but hum along softly while <font color=OBJCOLOR>playing music</font>."
50天 00:46	50d 00:46
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	"Under cloudless skies, <font color=MYCOLOR>Dong Zhirou</font> suddenly shed tears while <font color=OBJCOLOR>gazing upon the ceiling</font>."
50天 23:38	50d 23:38
董	Dong
之柔	Zhirou
明	Ming
郎	Lang
凌春	Lingchun
陈	Chen
慵醉	Yongzui
江南罩	JiangNan Cover
镇岳尊者	Venerable Mountain Suppressor
结丹中品！	core shaping Mid Tier!
松柏之侧，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>肉干</font>。	"Beside pine trees, <font color=MYCOLOR>Jiang Long</font> suddenly craves <font color=OBJCOLOR>Dried Meat</font> while <font color=OBJCOLOR>observing [HIS] surroundings</font>."
4天 13:54	4d 13:54
生气苏始，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	"At daybreak, <font color=MYCOLOR>Jiang Long</font> suddenly let out a long sigh while <font color=OBJCOLOR>perusing scrolls</font>."
5天 07:43	5d 07:43
<font color=MYCOLOR>姜龙</font>被<font color=OBJCOLOR>突然小难过</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Jiang Long</font> is troubled by the emotion of <font color=OBJCOLOR>sudden sadness</font> and can only <font color=OBJCOLOR>play music</font> to clear [their] mind.
6天 00:09	6d 00:09
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	"Within the sect, <font color=MYCOLOR>Jiang Long</font> found the adjacent <font color=OBJCOLOR>Spirit Stone Wall</font> curiously interesting while <font color=OBJCOLOR>studying scrolls</font>.."
6天 06:06	6d 06:06
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，脑海中突然浮现<font color=OBJCOLOR>百里眉</font>的模样。	"On a bright and clear day, while <font color=MYCOLOR>Jiang Long</font> is <font color=OBJCOLOR>reading and savoring scrolls</font>, the image of <font color=OBJCOLOR>Baili Mei</font> suddenly flashes through [HIS] mind."
7天 00:12	7d 00:12
起更之时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然想吃<font color=OBJCOLOR>蛙肉</font>。	"At nightfall, <font color=MYCOLOR>Jiang Long</font> developed a craving for <font color=OBJCOLOR>frog meat</font> while <font color=OBJCOLOR>watching clouds drift</font>."
7天 20:50	7d 20:50
生气苏始，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然流下眼泪。	"As vitality stirred at dawn, <font color=MYCOLOR>Jiang Long</font> suddenly tears welled up while <font color=OBJCOLOR>watching the clouds drift</font>."
8天 08:09	8d 08:09
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>牛肉</font>。	"Within the sect, <font color=MYCOLOR>Jiang Long</font> suddenly desired <font color=OBJCOLOR>bull meat</font> while <font color=OBJCOLOR>playing music</font>."
8天 12:17	8d 12:17
万里无云，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	"Under cloudless skies, <font color=MYCOLOR>Jiang Long</font> teared up during <font color=OBJCOLOR>performing music</font>."
8天 13:14	8d 13:14
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	"On a bright day, <font color=MYCOLOR>Jiang Long</font> found the adjacent <font color=OBJCOLOR>Spirit Stone Wall</font> fascinating while <font color=OBJCOLOR>staring at the ceiling</font>.."
8天 15:26	8d 15:26
夜深人静，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>夜观星象</font>时，突然觉得旁边的<font color=OBJCOLOR>野草</font>很有意思……	"In the stillness of night, <font color=MYCOLOR>Jiang Long</font> suddenly found the nearby <font color=OBJCOLOR>weeds</font> curious while <font color=OBJCOLOR>stargazing</font>.."
8天 22:35	8d 22:35
申时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>百里眉</font>的模样。	"In late afternoon, <font color=MYCOLOR>Jiang Long</font> suddenly recalled the image of <font color=OBJCOLOR>Baili Mei</font> while <font color=OBJCOLOR>playing music</font>."
9天 15:29	9d 15:29
<font color=MYCOLOR>姜龙</font>因<font color=OBJCOLOR>精致的房间</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	"<font color=MYCOLOR>Jiang Long</font>, delighted by their <font color=OBJCOLOR>exquisitely decorated room</font>, spontaneously expressed their joy through <font color=OBJCOLOR>playing music</font>."
10天 03:36	10d 03:36
门派中，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	"In the sect, <font color=MYCOLOR>Jianglong</font> abruptly was overwhelmed by a flood of thoughts while <font color=OBJCOLOR>staring at the ceiling alone</font>."
10天 04:34	10d 04:34
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>娱乐</font>时，突然领会到<font color=OBJCOLOR>《逍遥危燕玉女妙录》</font>的一丝真意。<font color=MYCOLOR>姜龙</font>当场沉浸在这一化境中，等回过神来，发现修为已然大进。	"During <font color=OBJCOLOR>recreation</font> at the sect, <font color=MYCOLOR>Long Jiang</font> suddenly grasped a profound truth from <font color=OBJCOLOR>""The Marvelous Records of Carefree Swallow and Jade Maiden""</font>. [THEY] became immersed in this epiphany, emerging to find [THEIR] cultivation significantly advanced."
门派中，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	"In the sect, <font color=MYCOLOR>Jiang Long</font> was <font color=OBJCOLOR>performing music</font> alone when suddenly overwhelmed by a flood of thoughts."
10天 23:34	10d 23:34
辰时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	"During the morning hours, <font color=MYCOLOR>Jiang Long</font> suddenly found the nearby <font color=OBJCOLOR>Spirit Stone Wall</font> quite remarkable while <font color=OBJCOLOR>observing the drifting clouds</font>.."
11天 08:06	11d 08:06
响午之后，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然很想家。	"After high noon, <font color=MYCOLOR>Jianglong</font> unexpectedly felt homesick while <font color=OBJCOLOR>reading scrolls</font>."
11天 15:05	11d 15:05
丑时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>赏月</font>时，突然发出一声长叹。	"During the Hour of the Ox, <font color=MYCOLOR>Jiang Long</font> suddenly let out a long sigh while <font color=OBJCOLOR>admiring the moon</font>."
13天 01:52	13d 01:52
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	"In the sect, <font color=MYCOLOR>Jianglong</font> suddenly shed tears while <font color=OBJCOLOR>staring at the ceiling</font>."
13天 06:20	13d 06:20
晴空万里，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	"Under the clear sky, <font color=MYCOLOR>Jiang Long</font> suddenly shed tears while <font color=OBJCOLOR>playing music</font>."
13天 16:28	13d 16:28
寅时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>赏月</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	"During Yin hour, <font color=MYCOLOR>Jiang Long</font> suddenly envisioned the figure of <font color=OBJCOLOR>Xi Xin</font> while <font color=OBJCOLOR>admiring the moon</font>."
15天 03:28	15d 03:28
万里无云，<font color=MYCOLOR>姜龙</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>儿子姜保</font>。	"Under cloudless skies, <font color=MYCOLOR>Jiang Long</font> quietly <font color=OBJCOLOR>played music</font>, when suddenly [HE] remembered [HIS] <font color=OBJCOLOR>son Jiang Bao</font>."
15天 09:20	15d 09:20
<font color=MYCOLOR>姜龙</font>被<font color=OBJCOLOR>浮躁之风</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Jiang Long</font> was troubled by <font color=OBJCOLOR>turbulent qi currents</font> and could only <font color=OBJCOLOR>engaged in musical cultivation</font> to clear [HIS] mind.
16天 12:12	16d 12:12
暮色怅晚，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>棕石墙</font>很有意思……	"As dusk falls, while <font color=MYCOLOR>Jiang Long</font> is <font color=OBJCOLOR>playing music</font>, [HE] suddenly finds the nearby <font color=OBJCOLOR>Brownstone Wall</font> quite intriguing.."
16天 17:36	16d 17:36
夜半时分，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>炼丹峰</font>看看。	"At midnight, <font color=MYCOLOR>Jiang Long</font> suddenly wanted to see <font color=OBJCOLOR>Alchemy Peak</font> while <font color=OBJCOLOR>engaged in musical cultivation</font>."
18天 23:09	18d 23:09
四更时分，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	"In the fourth watch, <font color=MYCOLOR>Jiang Long</font> suddenly felt homesick while <font color=OBJCOLOR>playing music</font>."
19天 01:04	19d 01:04
夕食之刻，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>面粉</font>。	"At dinner time, <font color=MYCOLOR>Jiang Long</font> suddenly craved <font color=OBJCOLOR>Flour</font> while <font color=OBJCOLOR>staring at the ceiling</font>."
21天 15:41	21d 15:41
天朗气清，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>夜观星象</font>，突然思绪万千。	"On a clear and bright day, <font color=MYCOLOR>Jiang Long</font> was alone <font color=OBJCOLOR>observing stars at night</font>, suddenly became lost in thought."
23天 02:45	23d 02:45
日初之时，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	"At sunrise, <font color=MYCOLOR>Jiang Long</font> was suddenly lost in thought while <font color=OBJCOLOR>reading and savoring texts</font> alone."
23天 07:26	23d 07:26
月上柳梢，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然流下眼泪。	"When the moon hung on willow branches, <font color=MYCOLOR>Jiang Long</font> suddenly wept while <font color=OBJCOLOR>reading scrolls</font>."
24天 21:05	24d 21:05
湿地之上，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>随便看看</font>时，突然很想家。	"On the wetlands, <font color=MYCOLOR>Jiang Long</font> suddenly felt homesick while <font color=OBJCOLOR>looking around aimlessly</font>."
25天 17:03	25d 17:03
晴空万里，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	"Under clear skies, <font color=MYCOLOR>Jiang Long</font> suddenly wept while <font color=OBJCOLOR>gazing at the ceiling</font>."
26天 04:22	26d 04:22
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	"In the sect, <font color=MYCOLOR>Jiang Long</font> suddenly feels homesick while <font color=OBJCOLOR>playing music</font>."
26天 17:46	26d 17:46
<font color=MYCOLOR>姜龙</font>因<font color=OBJCOLOR>合适的衣装</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	"<font color=MYCOLOR>Jiang Long</font>, in high spirits due to <font color=OBJCOLOR>well-fitted attire</font>, couldn't resist expressing joy through <font color=OBJCOLOR>playing music</font>."
27天 13:13	27d 13:13
日昳时分，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想吃<font color=OBJCOLOR>狼肉</font>。	"In the afternoon, <font color=MYCOLOR>Jiang Long</font> suddenly craves <font color=OBJCOLOR>Wolf Meat</font> while <font color=OBJCOLOR>reading scrolls</font>."
28天 14:55	28d 14:55
日昳时分，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>野草</font>很有意思……	"When the sun reached its zenith, <font color=MYCOLOR>Jiang Long</font> found the nearby <font color=OBJCOLOR>wild grass</font> radiating peculiar energy while <font color=OBJCOLOR>playing music</font>.."
31天 14:22	31d 14:22
<font color=MYCOLOR>姜龙</font>被<font color=OBJCOLOR>有点热</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	"Troubled by <font color=OBJCOLOR>the heat</font>, <font color=MYCOLOR>Jiang Long</font> could only clear their mind through <font color=OBJCOLOR>playing music</font>."
32天 10:58	32d 10:58
33天 15:54	33d 15:54
万里无云，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	"Under clear skies, <font color=MYCOLOR>Jiang Long</font> suddenly wept while <font color=OBJCOLOR>gazing at the ceiling</font>."
34天 18:38	34d 18:38
东方渐白，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>杨树</font>很有意思……	"As the eastern sky brightened, <font color=MYCOLOR>Jiang Long</font> found the adjacent <font color=OBJCOLOR>poplar tree</font> radiating peculiar energy while <font color=OBJCOLOR>playing music</font>.."
36天 03:20	36d 03:20
晴空万里，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	"Under the clear sky, while <font color=MYCOLOR>Jiang Long</font> is <font color=OBJCOLOR>playing music</font>, [HE] suddenly finds the nearby <font color=OBJCOLOR>Spirit Crystal Wall</font> quite intriguing.."
37天 19:07	37d 19:07
日中之时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>面粉</font>。	"At noon, <font color=MYCOLOR>Jiang Long</font> suddenly craves <font color=OBJCOLOR>Flour</font> while <font color=OBJCOLOR>contemplating the sky</font>."
38天 12:03	38d 12:03
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得很气闷。	"On a fine day, <font color=MYCOLOR>Jiang Long</font> suddenly felt stifled while <font color=OBJCOLOR>playing music</font>."
39天 09:31	39d 09:31
晴空万里，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	"Under clear skies, <font color=MYCOLOR>Jiang Long</font> felt inexplicably irritable while <font color=OBJCOLOR>playing music</font>."
39天 10:29	39d 10:29
<font color=MYCOLOR>姜龙</font>因<font color=OBJCOLOR>宛如仙境</font>心情不错，忍不住来<font color=OBJCOLOR>看天花板</font>抒怀。	<font color=MYCOLOR>Jiang Long</font> was in good spirits due to <font color=OBJCOLOR>fairyland-like scenery</font> and couldn't help but <font color=OBJCOLOR>stare at the ceiling</font> to give vent to [HIS] feelings.
39天 22:33	39d 22:33
晴空万里，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	"Under clear skies, <font color=MYCOLOR>Jiang Long</font> was alone <font color=OBJCOLOR>gazing upon the ceiling</font>, suddenly became lost in thought."
40天 00:57	40d 00:57
日夕之刻，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>寒精观星台</font>很有意思……	"At twilight's hour, <font color=MYCOLOR>Jiang Long</font> found the neighboring <font color=OBJCOLOR>Ice Essence Observatory</font> fascinating while <font color=OBJCOLOR>playing music</font>.."
40天 19:28	40d 19:28
未时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	"At the Hour of the Goat, <font color=MYCOLOR>Jiang Long</font> became intrigued by the adjacent <font color=OBJCOLOR>Spirit Crystal Wall</font> while <font color=OBJCOLOR>studying scrolls</font>.."
42天 13:08	42d 13:08
42天 18:32	42d 18:32
