talk	notarget	int	string	float	thing
WannaEat_Item_MonsterBlood					Ta muốn uống máu yêu thú
WannaEat_Item_EarthEssence					Ta muốn uống Địa Nguyên Dịch
WannaEat_Item_SilverGrit					Ta muốn ăn Băng Tinh Phấn
WannaEat_Item_CopperGrit					Ta muốn ăn Hỏa Đồng Phấn
WannaEat_Item_Cinnabar					Ta muốn ăn Chu Sa
WannaEat_Item_LingMuXueJie					Ta muốn ăn Mộc Hạch
WannaEat_Item_EarthEssence_1					Ta muốn ăn Thánh Đan
WannaEat_Item_EarthEssence1_1					Ta muốn ăn Ma Đan
WannaEat_Item_Healroot					Ta muốn ăn thảo dược trị thương
WannaEat_Item_Mint					Ta muốn ăn Minh Tâm Thảo
WannaEat_Item_MagicHerb					Ta muốn ăn Linh Thảo
WannaEat_Item_Laxative					Ta muốn ăn thuốc xổ
DoTalkEat_Item_SnakeGallbladder					Ta đang ăn mật rắn
DoTalkEat_Item_BearGallbladder					Ta đang ăn mật gấu
DoTalkEat_Item_RedGinseng					Ta đang ăn Hồng Sâm
DoTalkEat_Item_PurpleGanodermaLucidum					Ta đang ăn Tử Linh Chi
DoTalkEat_Item_TuEssence					Ta đang ăn Hoàng Thổ Hạch
DoTalkEat_Item_HuoEssence					Ta đang ăn Hỏa Kiếp Quả
DoTalkEat_Item_ShuiEssence					Ta đang ăn Ngũ Sắc Kim Liên
DoTalkEat_Item_JinEssence					Ta đang ăn Kim Tinh Quả
DoTalkEat_Item_MuEssence					Ta đang ăn Dã Đằng
DoTalkEat_Item_LifeStream					Ta đang uống Sinh Mệnh Chi Tuyền
DoTalkEat_Item_LongEgg					Ta đang ăn Thủy Long Đản
DoTalkEat_Item_FengEgg					Ta đang ăn Phượng Hoàng Đản
DoTalkEat_Item_DragonShit					Ta đang ăn phân rồng
DoTalkEat_Item_Jiaozi					Ta đang ăn bánh bao
DoTalkEat_Item_BossFeng_Meat					Ta đang ăn thịt phượng hoàng
DoTalkEat_Item_BossLong_Meat					Ta đang ăn thịt rồng
DoTalkEat_Item_BossZhuLong_Meat					Ta đang ăn Hỗn Độn Chi Nhục
DoTalkEat_Item_Cake					Ta đang ăn bánh mì
DoTalkEat_Item_MonsterBlood					Ta đang uống máu yêu thú
DoTalkEat_Item_EarthEssence					Ta đang uống Địa Nguyên Dịch
DoTalkEat_Item_SilverGrit					Ta đang ăn Băng Tinh Phấn
DoTalkEat_Item_CopperGrit					Ta đang ăn Hỏa Đồng Phấn
DoTalkEat_Item_Cinnabar					Ta đang ăn Chu Sa
DoTalkEat_Item_LingMuXueJie					Ta đang ăn Mộc Hạch
DoTalkEat_Item_EarthEssence_1					Ta đang ăn Thánh Đan
DoTalkEat_Item_EarthEssence1_1					Ta đang ăn Ma Đan
DoTalkEat_Item_Healroot					Ta đang ăn thảo dược trị thương
DoTalkEat_Item_Mint					Ta đang ăn Minh Tâm Thảo
DoTalkEat_Item_MagicHerb					Ta đang ăn Linh Thảo
DoTalkEat_Item_Laxative					Ta đang ăn thuốc xổ
CantEat_Item_SnakeGallbladder	Ta không tìm thấy mật rắn để ăn			
CantEat_Item_BearGallbladder	Ta không tìm thấy mật gấu để ăn			
CantEat_Item_RedGinseng	Ta không tìm thấy Hồng Sâm nào để ăn			
CantEat_Item_PurpleGanodermaLucidum	Ta không tìm thấy Tử Linh Chi để ăn			
CantEat_Item_TuEssence	Ta không tìm thấy Hoàng Thổ Hạch nào để ăn			
CantEat_Item_HuoEssence	Ta không tìm thấy Hỏa Kiếp Quả để ăn			
CantEat_Item_ShuiEssence	Ta không tìm thấy Ngũ Sắc Kim Liên để ăn			
CantEat_Item_JinEssence	Ta không tìm thấy Kim Tinh Quả để ăn			
CantEat_Item_MuEssence	Ta không tìm thấy Dã Đằng nào để ăn			
CantEat_Item_LifeStream	Ta không tìm thấy Sinh Mệnh Chi Tuyền để uống				
CantEat_Item_LongEgg	Ta không tìm thấy Thủy Long Đản nào để ăn			
CantEat_Item_FengEgg	Ta không tìm thấy Phượng Hoàng Đản nào để ăn			
CantEat_Item_DragonShit	Ta không tìm thấy phân rồng để ăn			
CantEat_Item_Jiaozi	Ta không tìm thấy bánh bao để ăn			
CantEat_Item_BossFeng_Meat	Ta không tìm thấy thịt phượng hoàng nào để ăn			
CantEat_Item_BossLong_Meat	Ta không tìm thấy thịt rồng nào để ăn			
CantEat_Item_BossZhuLong_Meat	Ta không tìm thấy Hỗn Độn Chi Nhục nào để ăn			
CantEat_Item_Cake	Ta không tìm thấy bánh mì để ăn			
CantEat_Item_MonsterBlood	Ta không tìm thấy máu yêu thú nào để uống			
CantEat_Item_EarthEssence	Ta không tìm thấy Địa Nguyên Dịch để uống				
CantEat_Item_SilverGrit	Ta không tìm thấy Băng Tinh Phấn để ăn			
CantEat_Item_CopperGrit	Ta không tìm thấy Hỏa Đồng Phấn để ăn			
CantEat_Item_Cinnabar	Ta không tìm thấy Chu Sa để ăn			
CantEat_Item_LingMuXueJie	Ta không tìm thấy Mộc Hạch nào để ăn			
CantEat_Item_EarthEssence_1	Ta không tìm thấy Thánh Đan nào để ăn			
CantEat_Item_EarthEssence1_1	Ta không tìm thấy Ma Đan nào để ăn			
CantEat_Item_Healroot	Ta không tìm thấy thảo dược trị thương nào			
CantEat_Item_Mint	Ta không tìm thấy Minh Tâm Thảo để ăn			
CantEat_Item_MagicHerb	Ta không tìm thấy Linh Thảo nào			
CantEat_Item_Laxative	Ta không tìm thấy thuốc xổ nào			
Leave1					{0} đi đường cẩn thận nhé
Leave2					{0} Mau về nhé
Leave3					Chúc {0} thượng lộ bình an
Back1					Cuối cùng {0} cũng trở về
Back2					Chào mừng {0} về nhà
Back3					Ta thật sự nhớ {0} lắm
NotBack1					Sao {0} còn chưa về?
NotBack2					{0} đang làm gì vậy?
NotBack3					Ta thật sự tò mò {0} đang làm gì
BackComa1					Rốt cuộc {0} đã xảy ra chuyện gì?
BackComa2					{0} đang cần giúp đỡ
BackComa3					{0} cố lên nhé
SleepHelp1					Mau khỏe nhé {0}!
SleepHelp2					Mau khỏe nhé {0}!
SleepHelp3					Mau khỏe nhé {0}!
Lacrimosa1		...			
Lacrimosa2		...			
Lacrimosa3		...			
QiGan_FullTalk	Linh Khí của ta đã đạt đến giới hạn rồi				
NeiDan_FullTalk	Yêu Đan của ta đã đạt đến giới hạn rồi				
HuTi_FullTalk	Hộ Thể của ta đã đạt đến giới hạn rồi				
LingZhi_FullTalk	Ngộ Tính của ta đã đạt đến giới hạn rồi				
ShuFa_FullTalk	Thuật Pháp của ta đã đạt đến giới hạn rồi				
